"","REGION","SEXO","Variable","Year","AnunalAverage"
"390","12",2,"Employed.Numb",1991,14343.4450975
"391","12",1,"Employment.Share",1991,0.734567659488582
"392","12",2,"Employment.Share",1991,0.274497478334673
"393","12",1,"Pop",1991,63951.2832775
"394","12",2,"Pop",1991,52252.336515
"395","12",1,"Unemployed.Numb",1991,3443.695425
"396","12",2,"Unemployed.Numb",1991,694.6298675
"397","12",1,"Unemployment.Share",1991,0.0538936946782349
"398","12",2,"Unemployment.Share",1991,0.0132925828663943
"399","12",1,"Working.Hours",1991,46.7753224549402
"400","12",2,"Working.Hours",1991,44.2479039809576
"401","13",1,"Ave.Age",1991,38.5064184069969
"402","13",2,"Ave.Age",1991,40.0921183084462
"403","13",1,"Ave.Schooling",1991,9.42310174509741
"404","13",2,"Ave.Schooling",1991,8.90927558734152
"405","13",1,"Employed.Numb",1991,1146366.5903675
"406","13",2,"Employed.Numb",1991,637744.8201425
"407","13",1,"Employment.Share",1991,0.700339386999717
"408","13",2,"Employment.Share",1991,0.335911755751466
"409","13",1,"Pop",1991,1636874.3320525
"410","13",2,"Pop",1991,1898501.2028925
"411","13",1,"Unemployed.Numb",1991,94295.2209725
"412","13",2,"Unemployed.Numb",1991,46970.930375
"413","13",1,"Unemployment.Share",1991,0.0576342630740206
"414","13",2,"Unemployment.Share",1991,0.0247609302576561
"415","13",1,"Working.Hours",1991,47.2619942168543
"416","13",2,"Working.Hours",1991,46.2030116167748
"417","1",1,"Ave.Age",1992,38.9675934460545
"418","1",2,"Ave.Age",1992,38.6063291269495
"419","1",1,"Ave.Schooling",1992,8.96021775567153
"420","1",2,"Ave.Schooling",1992,8.58749875993803
"421","1",1,"Employed.Numb",1992,92091.75
"422","1",2,"Employed.Numb",1992,41782.75
"423","1",1,"Employment.Share",1992,0.760121631121674
"424","1",2,"Employment.Share",1992,0.364503118401029
"425","1",1,"Pop",1992,121154.5
"426","1",2,"Pop",1992,114623
"427","1",1,"Unemployed.Numb",1992,3407.25
"428","1",2,"Unemployed.Numb",1992,1872
"429","1",1,"Unemployment.Share",1992,0.0281199295586988
"430","1",2,"Unemployment.Share",1992,0.0163421912405869
"431","1",1,"Working.Hours",1992,49.5985058156166
"432","1",2,"Working.Hours",1992,44.0570162162344
"433","10",1,"Ave.Age",1992,39.7246789124836
"434","10",2,"Ave.Age",1992,40.9561767194142
"435","10",1,"Ave.Schooling",1992,6.76691818929833
"436","10",2,"Ave.Schooling",1992,6.29176189956167
"437","10",1,"Employed.Numb",1992,242937
"438","10",2,"Employed.Numb",1992,72617.25
"439","10",1,"Employment.Share",1992,0.775704692942703
"440","10",2,"Employment.Share",1992,0.231423980471586
"441","10",1,"Pop",1992,313184
"442","10",2,"Pop",1992,313770.25
"443","10",1,"Unemployed.Numb",1992,7974.5
"444","10",2,"Unemployed.Numb",1992,1669.25
"445","10",1,"Unemployment.Share",1992,0.0254645582808989
"446","10",2,"Unemployment.Share",1992,0.00531817250625514
"447","10",1,"Working.Hours",1992,48.3803644176704
"448","10",2,"Working.Hours",1992,46.1857965280297
"449","11",1,"Ave.Age",1992,38.0414842150514
"450","11",2,"Ave.Age",1992,37.2721349368315
"451","11",1,"Ave.Schooling",1992,7.12480409503345
"452","11",2,"Ave.Schooling",1992,6.75496494233856
"453","11",1,"Employed.Numb",1992,24876.75
"454","11",2,"Employed.Numb",1992,9123
"455","11",1,"Employment.Share",1992,0.838023504846673
"456","11",2,"Employment.Share",1992,0.380140001666159
"457","11",1,"Pop",1992,29685
"458","11",2,"Pop",1992,23991.5
"459","11",1,"Unemployed.Numb",1992,1052
"460","11",2,"Unemployed.Numb",1992,263.25
"461","11",1,"Unemployment.Share",1992,0.0354150174680517
"462","11",2,"Unemployment.Share",1992,0.010978633684329
"463","11",1,"Working.Hours",1992,46.0355153161347
"464","11",2,"Working.Hours",1992,42.5285208100175
"465","12",1,"Ave.Age",1992,40.4388911751108
"466","12",2,"Ave.Age",1992,41.0093706383228
"467","12",1,"Ave.Schooling",1992,8.09067011420324
"468","12",2,"Ave.Schooling",1992,7.89862434938144
"469","12",1,"Employed.Numb",1992,48280.25
"470","12",2,"Employed.Numb",1992,14510.5
"471","12",1,"Employment.Share",1992,0.736045415020663
"472","12",2,"Employment.Share",1992,0.271591505972637
"473","12",1,"Pop",1992,65596.75
"474","12",2,"Pop",1992,53429
"475","12",1,"Unemployed.Numb",1992,2478.5
"476","12",2,"Unemployed.Numb",1992,473.25
"477","12",1,"Unemployment.Share",1992,0.0377716115847307
"478","12",2,"Unemployment.Share",1992,0.00886464839103534
"479","12",1,"Working.Hours",1992,47.2014291577981
"480","12",2,"Working.Hours",1992,43.6354457744308
"481","13",1,"Ave.Age",1992,38.7326874748492
"482","13",2,"Ave.Age",1992,40.5667649183055
"483","13",1,"Ave.Schooling",1992,9.26604243157252
"484","13",2,"Ave.Schooling",1992,8.74613228044913
"485","13",1,"Employed.Numb",1992,1203662.5
"486","13",2,"Employed.Numb",1992,700898
"487","13",1,"Employment.Share",1992,0.718232405943939
"488","13",2,"Employment.Share",1992,0.360113649732019
"489","13",1,"Pop",1992,1675715.75
"490","13",2,"Pop",1992,1945923.25
"491","13",1,"Unemployed.Numb",1992,61808.5
"492","13",2,"Unemployed.Numb",1992,36320.75
"493","13",1,"Unemployment.Share",1992,0.0368985226761177
"494","13",2,"Unemployment.Share",1992,0.0186538221565535
"495","13",1,"Working.Hours",1992,47.4924528266146
"496","13",2,"Working.Hours",1992,46.2062037502879
"497","2",1,"Ave.Age",1992,37.8715492203419
"498","2",2,"Ave.Age",1992,38.6560745205948
"499","2",1,"Ave.Schooling",1992,8.89438287270712
"500","2",2,"Ave.Schooling",1992,8.2972295189109
"501","2",1,"Employed.Numb",1992,95146
"502","2",2,"Employed.Numb",1992,35685.5
"503","2",1,"Employment.Share",1992,0.70459082137169
"504","2",2,"Employment.Share",1992,0.264320069750379
"505","2",1,"Pop",1992,135033.5
"506","2",2,"Pop",1992,134971.5
"507","2",1,"Unemployed.Numb",1992,5781.5
"508","2",2,"Unemployed.Numb",1992,1441
"509","2",1,"Unemployment.Share",1992,0.0428361884625461
"510","2",2,"Unemployment.Share",1992,0.0106878799395891
"511","2",1,"Working.Hours",1992,48.48087659426
"512","2",2,"Working.Hours",1992,45.9414765687411
"513","3",1,"Ave.Age",1992,38.4493056046131
"514","3",2,"Ave.Age",1992,38.6328407787505
"515","3",1,"Ave.Schooling",1992,8.08705994931903
"516","3",2,"Ave.Schooling",1992,7.68859920118559
"517","3",1,"Employed.Numb",1992,54670.75
"518","3",2,"Employed.Numb",1992,18676.75
"519","3",1,"Employment.Share",1992,0.770337629256846
"520","3",2,"Employment.Share",1992,0.266663302849573
"521","3",1,"Pop",1992,70969.5
"522","3",2,"Pop",1992,70058
"523","3",1,"Unemployed.Numb",1992,3043
"524","3",2,"Unemployed.Numb",1992,964.75
"525","3",1,"Unemployment.Share",1992,0.0428788985496084
"526","3",2,"Unemployment.Share",1992,0.0137735311239082
"527","3",1,"Working.Hours",1992,51.4860895738033
"528","3",2,"Working.Hours",1992,45.469342396701
"529","4",1,"Ave.Age",1992,39.4768974007572
"530","4",2,"Ave.Age",1992,40.2909609186677
"531","4",1,"Ave.Schooling",1992,7.01353306780998
"532","4",2,"Ave.Schooling",1992,7.13930972021931
"533","4",1,"Employed.Numb",1992,113985
